artist,title,id
"!","!","Lupe Fiasco Ft Matthew Santos Superstar"
"(hed) Planet Earth ","Bartender",""
"10 Cc","Donna [Karaoke]",""
"10 Cc","Donna [Karaoke]",""
"10 Cc","Dreadlock Holiday [Karaoke]",""
"10 CC","Dreadlock Holiday [Karaoke]",""
"10 Cc","I'm Not In Love [Karaoke]",""
"10 Cc","Im Mandy Fly Me [Karaoke]",""
"10 Cc","Im Mandy Fly Me [Karaoke]",""
"10 Cc","Im Not In Love [Karaoke]",""
"10 Cc","Rubber Bullets [Karaoke]",""
"10 Cc","Rubber Bullets [Karaoke]",""
"10 Cc","The Things We Do For Love [Karaoke]",""
"10 CC","Things We Do For Love [Karaoke]",""
"10 Cc","Wall Street Shuffle [Karaoke]",""
"10 Cc","Wall Street Shuffle [Karaoke]",""
"10 Years","Through The Iris [Karaoke]",""
"10 Years","Through The Iris [Karaoke]",""
"10 Years","Wasteland [Karaoke]",""
"10 Years","Wasteland [Karaoke]",""
"10, 000 Maniacs","These Are The Days [Karaoke]",""
"10,000 Maniacs","Because The Night [Karaoke]",""
"10,000 Maniacs","Because The Night [Karaoke]",""
"10,000 Maniacs","More Than This [Karaoke]",""
"10,000 Maniacs","More Than This [Karaoke]",""
"10,000 Maniacs","Trouble Me [karaoke]",""
"10,000 Maniacs","Trouble Me [karaoke]",""
"112","Cupid [Karaoke]",""
"112","Cupid [Karaoke]",""
"112","Dance With Me [Karaoke]",""
"112","Dance With Me [Karaoke]",""
"112","It's Over Now [Karaoke]",""
"112","It's Over Now [Karaoke]",""
"112","Peaches & Cream [Karaoke]",""
"112","Peaches & Cream [Karaoke]",""
"112","U Already Know [Karaoke]",""
"112","U Already Know [Karaoke]",""
"12 Gauge","Dunkie Butt [karaoke]",""
"12 Gauge","Dunkie Butt [karaoke]",""
"12 Stones","We Are One [Karaoke]",""
"12 Stones","We Are One [Karaoke]",""
"19 Somethin'","Mark Wills [Karaoke]",""
"19 Somethin'","Mark Wills [Karaoke]",""
"1910 Fruitgum Co","Simon Says [Karaoke]",""
"2 Evisa","Oh La La La [Karaoke]",""
"2 Live Crew","Doo Wah Diddy [karaoke]",""
"2 Live Crew","We Want Some P---Ykaraoke",""
"2 Pac","California Love [Karaoke]",""
"2 Pac","Thugz Mansion [Karaoke]",""
"2 Pac","Thugz Mansion [Karaoke]",""
"2 Pac","Until The End Of Time [Karaoke]",""
"2 Pac","Until The End Of Time [Karaoke]",""
"2 Pistols & Ray J","You Know Me [Karaoke]",""
